group,filename,n,m,t,opt,lower,upper
exactLowTerm,instance137.gr,529,1032,21,-1,2103274,2103284
exactLowTerm,instance139.gr,770,1383,21,750,750,750
exactLowTerm,instance141.gr,233,431,22,2200557,2200557,2200557
exactLowTerm,instance143.gr,828,1472,22,5824,5824,5824
exactLowTerm,instance145.gr,132,230,23,2300245,2300245,2300245
exactLowTerm,instance147.gr,3983,7108,23,-1,925,1490
exactLowTerm,instance149.gr,493,963,24,2403332,2403332,2403332
exactLowTerm,instance151.gr,8007,14743,24,-1,8848,18024
exactLowTerm,instance153.gr,246,468,25,2500540,2500540,2500540
exactLowTerm,instance155.gr,58,1653,25,13655,13655,13655
exactLowTerm,instance157.gr,2213,4135,25,1098,1098,1098
exactLowTerm,instance159.gr,3636,6789,25,-1,1342,1362
exactLowTerm,instance161.gr,640,40896,25,-1,0,5970
exactLowTerm,instance163.gr,640,40896,25,-1,5112,5977
exactLowTerm,instance165.gr,640,40896,25,-1,5115,5903
exactLowTerm,instance167.gr,396,781,26,-1,2600438,2600445
exactLowTerm,instance169.gr,243,497,27,2700441,2700441,2700441
exactLowTerm,instance171.gr,243,1215,27,-1,41,44
exactLowTerm,instance173.gr,243,1215,27,-1,69,72
exactLowTerm,instance175.gr,307,559,28,2800379,2800379,2800379
exactLowTerm,instance177.gr,245,436,29,2900479,2900479,2900479
exactLowTerm,instance179.gr,1724,2975,29,-1,1180,1261
exactLowTerm,instance181.gr,8013,14749,30,-1,10446,21927
exactLowTerm,instance183.gr,1199,2078,31,1068,1068,1068
exactLowTerm,instance185.gr,437,838,33,3300513,3300513,3300513
exactLowTerm,instance187.gr,1244,2474,34,-1,3400520,3400682
exactLowTerm,instance189.gr,8017,14753,36,-1,10986,20841
exactLowTerm,instance191.gr,2132,3702,37,-1,1361,1608
exactLowTerm,instance193.gr,603,1207,38,-1,3800621,3800674
exactLowTerm,instance195.gr,550,5013,50,-1,53,54
exactLowTerm,instance197.gr,10393,18043,104,-1,2666,4318
exactLowTerm,instance199.gr,6163,10490,130,-1,3308,5146
exactLowTw,instance001.gr,74,146,25,1086,1086,1086
exactLowTw,instance003.gr,87,176,30,41350,41350,41350
exactLowTw,instance005.gr,201,253,100,764269099,764269099,764269099
exactLowTw,instance007.gr,216,288,100,20437,20437,20437
exactLowTw,instance009.gr,229,312,100,75952202,75952202,75952202
exactLowTw,instance011.gr,244,337,100,20492,20492,20492
exactLowTw,instance013.gr,1906,2083,1655,584948,584948,584948
exactLowTw,instance015.gr,114,228,33,1341,1341,1341
exactLowTw,instance017.gr,210,276,100,73033178,73033178,73033178
exactLowTw,instance019.gr,231,319,100,70446493,70446493,70446493
exactLowTw,instance021.gr,247,486,100,74070,74070,74070
exactLowTw,instance023.gr,990,1258,574,3509275,3509275,3509275
exactLowTw,instance025.gr,8790,9815,7397,22481625,22481625,22481625
exactLowTw,instance027.gr,15,35,8,10,10,10
exactLowTw,instance029.gr,197,250,100,20401,20401,20401
exactLowTw,instance031.gr,269,399,99,1225,1225,1225
exactLowTw,instance033.gr,480,670,200,28803,28803,28803
exactLowTw,instance035.gr,543,727,250,114650399,114650399,114650399
exactLowTw,instance037.gr,1172,1627,500,160586161,160586161,160586161
exactLowTw,instance039.gr,1912,2223,1173,53301,53301,53301
exactLowTw,instance041.gr,2382,2674,1889,295208,295208,295208
exactLowTw,instance043.gr,246,468,25,2500540,2500540,2500540
exactLowTw,instance045.gr,389,562,150,25700,25700,25700
exactLowTw,instance047.gr,585,799,250,115277351,115277351,115277351
exactLowTw,instance049.gr,623,876,250,116609813,116609813,116609813
exactLowTw,instance051.gr,1416,1978,657,-1,471536,471653
exactLowTw,instance053.gr,181,289,51,409,409,409
exactLowTw,instance055.gr,233,431,22,2200557,2200557,2200557
exactLowTw,instance057.gr,245,454,20,2000271,2000271,2000271
exactLowTw,instance059.gr,560,870,195,2386,2386,2386
exactLowTw,instance061.gr,528,1017,85,-1,8500738,8500800
exactLowTw,instance063.gr,1214,1700,500,160124233,160124233,160124233
exactLowTw,instance065.gr,2856,3641,1748,-1,3154876,3208735
exactLowTw,instance067.gr,200,370,20,39067,39067,39067
exactLowTw,instance069.gr,200,370,100,86268,86268,86268
exactLowTw,instance071.gr,339,522,100,75176630,75176630,75176630
exactLowTw,instance073.gr,262,740,10,2146,2146,2146
exactLowTw,instance075.gr,557,1080,49,4901968,4901968,4901968
exactLowTw,instance077.gr,2413,3412,1577,-1,19822663,19837426
exactLowTw,instance079.gr,36415,145635,16808,-1,0,25210
exactLowTw,instance081.gr,237,378,76,513,513,513
exactLowTw,instance083.gr,311,632,32,3200554,3200554,3200554
exactLowTw,instance085.gr,1274,1808,500,161674316,161674316,161674316
exactLowTw,instance087.gr,1337,1933,500,162664661,162664661,162664661
exactLowTw,instance089.gr,5829,7552,3038,-1,127975,132034
exactLowTw,instance091.gr,304,571,33,3300655,3300655,3300655
exactLowTw,instance093.gr,1001,1419,400,1490972006,1490972006,1490972006
exactLowTw,instance095.gr,1335,1932,500,-1,164547303,164786788
exactLowTw,instance097.gr,2629,3793,1000,-1,221302922,229514509
exactLowTw,instance099.gr,1294,1853,500,162100435,162100435,162100435
exactLowTw,instance101.gr,2778,4083,1000,-1,218562603,231727227
exactLowTw,instance103.gr,1055,1473,493,320137,320137,320137
exactLowTw,instance105.gr,1408,2056,500,-1,159881745,161668145
exactLowTw,instance107.gr,160,240,24,7068,7068,7068
exactLowTw,instance109.gr,257,515,23,2300376,2300376,2300376
exactLowTw,instance111.gr,2763,4038,1000,-1,223520664,232618355
exactLowTw,instance113.gr,80,160,16,4354,4354,4354
exactLowTw,instance115.gr,243,497,27,2700441,2700441,2700441
exactLowTw,instance117.gr,398,788,44,4401504,4401504,4401504
exactLowTw,instance119.gr,678,1030,318,39335,39335,39335
exactLowTw,instance121.gr,1005,1731,18,780,780,780
exactLowTw,instance123.gr,2762,4047,1000,-1,215651466,228882007
exactLowTw,instance125.gr,160,240,24,6923,6923,6923
exactLowTw,instance127.gr,294,568,22,2200394,2200394,2200394
exactLowTw,instance129.gr,323,592,31,3100635,3100635,3100635
exactLowTw,instance131.gr,499,861,16,594,594,594
exactLowTw,instance133.gr,766,1535,76,-1,7601979,7602115
exactLowTw,instance135.gr,2532,3615,1000,-1,220157569,229464419
exactLowTw,instance137.gr,2676,3894,1000,-1,219121348,229519293
exactLowTw,instance139.gr,2984,4484,1000,-1,215576685,232334504
exactLowTw,instance141.gr,294,618,38,3800606,3800606,3800606
exactLowTw,instance143.gr,388,815,45,4500728,4500728,4500728
exactLowTw,instance145.gr,437,838,33,3300513,3300513,3300513
exactLowTw,instance147.gr,564,1112,50,-1,5001621,5001625
exactLowTw,instance149.gr,615,1232,53,-1,5301327,5301387
exactLowTw,instance151.gr,314,650,34,3400525,3400525,3400525
exactLowTw,instance153.gr,670,1316,62,-1,6200757,6201023
exactLowTw,instance155.gr,770,1383,21,750,750,750
exactLowTw,instance157.gr,938,1869,75,-1,7501590,7501826
exactLowTw,instance159.gr,2865,4267,1000,-1,216673473,232046972
exactLowTw,instance161.gr,2502,6244,100,-1,67164,80892
exactLowTw,instance163.gr,402,780,26,2600484,2600484,2600484
exactLowTw,instance165.gr,422,808,25,2500828,2500828,2500828
exactLowTw,instance167.gr,632,1087,10,580,580,580
exactLowTw,instance169.gr,720,1269,11,508,508,508
exactLowTw,instance171.gr,802,1553,39,-1,3903658,3903791
exactLowTw,instance173.gr,788,1938,50,45852,45852,45852
exactLowTw,instance175.gr,2397,3715,783,-1,8452,8964
exactLowTw,instance177.gr,904,1806,59,-1,5901527,5901665
exactLowTw,instance179.gr,752,1264,26,806,806,806
exactLowTw,instance181.gr,757,1493,58,-1,5801418,5801535
exactLowTw,instance183.gr,838,1763,60,-1,6000692,6001164
exactLowTw,instance185.gr,2834,4207,1000,-1,218744851,232042878
exactLowTw,instance187.gr,529,1032,21,-1,2103276,2103284
exactLowTw,instance189.gr,467,896,30,3000569,3000569,3000569
exactLowTw,instance191.gr,5096,8105,1379,-1,50615,56779
exactLowTw,instance193.gr,1848,3286,16,-1,896,924
exactLowTw,instance195.gr,1724,2975,29,-1,1202,1261
exactLowTw,instance197.gr,6128,15264,200,-1,78223,113963
exactLowTw,instance199.gr,1011,2010,37,-1,3700390,3700507
heuristic,instance001.gr,6405,10454,16,-1,1261,2270
heuristic,instance003.gr,8007,14743,24,-1,8848,18024
heuristic,instance005.gr,8013,14749,30,-1,11059,21927
heuristic,instance007.gr,38282,71521,34,-1,8119,45349
heuristic,instance009.gr,3803,6213,38,-1,14446838,15850381
heuristic,instance011.gr,19100,35653,40,-1,10709,31860
heuristic,instance013.gr,550,5013,50,-1,5517,5714
heuristic,instance015.gr,1000,13500,50,-1,116,132
heuristic,instance017.gr,3716,6750,52,-1,12045,17727
heuristic,instance019.gr,38307,71546,58,-1,11361,56338
heuristic,instance021.gr,1331,19965,61,-1,81,92
heuristic,instance023.gr,1331,19965,61,-1,142,162
heuristic,instance025.gr,512,2304,64,-1,95,103
heuristic,instance027.gr,1822,3610,64,-1,6400639,6400982
heuristic,instance029.gr,987,1923,67,-1,6700699,6700801
heuristic,instance031.gr,1728,28512,74,-1,98,111
heuristic,instance033.gr,1728,28512,74,-1,172,196
heuristic,instance035.gr,1761,3370,76,-1,7600719,7601073
heuristic,instance037.gr,2346,4656,78,-1,7800724,7801156
heuristic,instance039.gr,320,640,80,21517,21517,21517
heuristic,instance041.gr,320,1845,80,-1,17843,18512
heuristic,instance043.gr,1491,2831,80,-1,8000630,8000890
heuristic,instance045.gr,320,10208,80,-1,16117,16273
heuristic,instance047.gr,320,51040,80,-1,0,17798
heuristic,instance049.gr,3168,6220,83,-1,8300502,8300947
heuristic,instance051.gr,528,1017,85,-1,8500736,8500800
heuristic,instance053.gr,743,1409,88,-1,88001135,88001187
heuristic,instance055.gr,1343,2594,91,-1,91000572,91000940
heuristic,instance057.gr,1976,3836,94,-1,94000898,94001209
heuristic,instance059.gr,2518,4985,96,-1,96000547,96001260
heuristic,instance061.gr,2265,4545,98,-1,98000588,98001263
heuristic,instance063.gr,9469,22743,100,-1,5870,9978
heuristic,instance065.gr,10393,18043,104,-1,2666,4318
heuristic,instance067.gr,3224,5285,126,-1,30133747,30866903
heuristic,instance069.gr,1024,5120,135,-1,34308,36757
heuristic,instance071.gr,640,1280,160,-1,42539,42571
heuristic,instance073.gr,640,4135,160,-1,35130,36264
heuristic,instance075.gr,640,40896,160,-1,0,35851
heuristic,instance077.gr,640,204480,160,-1,0,34870
heuristic,instance079.gr,38418,71657,172,-1,29426,100409
heuristic,instance081.gr,44624,56205,190,-1,2094688,3539380
heuristic,instance083.gr,2200,7997,200,-1,24186,25695
heuristic,instance085.gr,1200,10002,200,-1,22446,23366
heuristic,instance087.gr,7527,18170,200,-1,78372,115845
heuristic,instance089.gr,33901,62816,204,-1,4952,12372
heuristic,instance091.gr,2187,15308,222,-1,0,609
heuristic,instance093.gr,2048,11263,244,-1,61883,67961
heuristic,instance095.gr,512,2304,256,-1,287,296
heuristic,instance097.gr,3300,18073,300,-1,0,388
heuristic,instance099.gr,8755,14449,347,-1,84412242,85615173
heuristic,instance101.gr,9287,14975,363,-1,104840357,107673181
heuristic,instance103.gr,50002,65203,386,-1,2269520,5429672
heuristic,instance105.gr,783,2262,406,507,507,507
heuristic,instance107.gr,14685,23466,421,-1,104122319,105980309
heuristic,instance109.gr,12715,20632,475,-1,102694648,105232412
heuristic,instance111.gr,12355,19962,503,-1,114852766,118986703
heuristic,instance113.gr,1024,5120,512,-1,568,618
heuristic,instance115.gr,9574,16208,543,-1,134479110,135204005
heuristic,instance117.gr,79244,101189,550,-1,0,12842193
heuristic,instance119.gr,1081,3174,552,-1,689,707
heuristic,instance121.gr,5556,8552,570,-1,265863593,281591670
heuristic,instance123.gr,21808,34921,594,-1,140202962,146952964
heuristic,instance125.gr,20547,33230,627,-1,162132190,175870745
heuristic,instance127.gr,13316,22033,653,-1,157816969,165879172
heuristic,instance129.gr,15122,24371,737,-1,172791939,178203145
heuristic,instance131.gr,13294,21948,835,-1,183259812,185847335
heuristic,instance133.gr,15714,25567,871,-1,199171425,202091690
heuristic,instance135.gr,25081,40739,888,-1,239548139,248516307
heuristic,instance137.gr,97928,128632,902,-1,0,11544648
heuristic,instance139.gr,29905,47457,943,-1,202919043,208340911
heuristic,instance141.gr,30857,49591,990,-1,241164976,295350131
heuristic,instance143.gr,2676,3894,1000,-1,219121348,232241176
heuristic,instance145.gr,2865,4267,1000,-1,216673473,234421167
heuristic,instance147.gr,62174,87562,1015,-1,2381639,7047518
heuristic,instance149.gr,2048,11264,1024,-1,0,1257
heuristic,instance151.gr,42008,67572,1242,-1,320729335,338664194
heuristic,instance153.gr,33188,53680,1263,-1,305654002,322815149
heuristic,instance155.gr,33118,55127,1553,-1,405000670,421786587
heuristic,instance157.gr,26840,43661,1645,-1,450968683,460785422
heuristic,instance159.gr,30585,50454,1704,-1,404155926,415145426
heuristic,instance161.gr,72701,115430,1790,-1,376341726,384737643
heuristic,instance163.gr,117756,165153,1879,-1,0,13716141
heuristic,instance165.gr,88728,133625,2041,-1,0,13529135
heuristic,instance167.gr,4096,24576,2048,-1,0,2488
heuristic,instance169.gr,69988,111804,2162,-1,474314194,494003960
heuristic,instance171.gr,54351,88211,2182,-1,552748801,579996108
heuristic,instance173.gr,44934,73727,2319,-1,607908810,629217204
heuristic,instance175.gr,48833,79987,2493,-1,574879352,593382946
heuristic,instance177.gr,57551,95381,2973,-1,793613007,817729077
heuristic,instance179.gr,68464,108732,3001,-1,744422282,759768532
heuristic,instance181.gr,135543,201803,3033,-1,0,20536384
heuristic,instance183.gr,120866,187312,3224,-1,153055,25476523
heuristic,instance185.gr,66048,110491,3343,-1,11440628,795688377
heuristic,instance187.gr,63158,107345,3458,-1,848016356,863945072
heuristic,instance189.gr,172687,255825,3902,-1,0,41688440
heuristic,instance191.gr,85085,138888,3954,-1,38275674,979565867
heuristic,instance193.gr,17127,27352,4461,-1,148049,187381
heuristic,instance195.gr,89596,148583,4991,-1,52567513,1409510618
heuristic,instance197.gr,235686,366093,6313,-1,0,52633716
heuristic,instance199.gr,18245,36038,17795,-1,17793,18233
